rank,domain,title,has_iso_27001,has_soc_2,has_csa_star,total_claimed_attestations,attestation_audit_status,pages_inspected,attestation_evidence,score_tls_transport,score_dns_email,score_http_headers,score_pki_cert,d_vpf_technical_score,dmarc_policy,hsts_present,csp_present,tls_validation_status,cert_lifespan_days,cert_max_allowed_days,key_type,key_bits,http_probe_status,dns_probe_status
29,github.com,GitHub · Change is constant. GitHub keeps you ahead. · GitHub,0,1,0,1,observed,https://github.com/;https://github.com/security;https://github.com/trust;https://github.com/compliance;https://github.com/trust-center;https://github.com/security/advanced-security;https://github.com/security/advanced-security/code-security;https://github.com/security/advanced-security/secret-protection;https://github.com/resources/articles,https://github.com/security,20,10,25,25,80,None,True,True,verified,89,200,EC-secp256r1,256,observed,observed
36,fastly.net,,1,1,0,2,observed,https://www.fastly.com/;https://www.fastly.com/products/web-application-api-protection;https://www.fastly.com/trust;https://www.fastly.com/compliance;https://www.fastly.com/services/managed-security-service;https://www.fastly.com/solutions/customer-trust;https://www.fastly.com/solutions/privacy-enablement,https://www.fastly.com/compliance,18,10,10,25,63,None,True,False,verified,29,200,RSA,2048,observed,observed
37,doubleclick.net,Enterprise Advertising & Analytics Solutions - Google Marketing Platform,0,0,0,0,observed,https://marketingplatform.google.com/about/enterprise/;https://marketingplatform.google.com/about/resources/the-marketers-playbook-for-navigating-todays-privacy-environment/,,15,10,13,25,63,None,False,True,verified,83,200,EC-secp256r1,256,observed,observed
45,gandi.net,"Gandi.net - Gandi.net: Domain Names, Web Hosting, SSL Certificates and Emails",1,0,0,1,observed,https://www.gandi.net/en-US;https://www.gandi.net/en-US/security;https://www.gandi.net/en-US/trust-center;https://news.gandi.net/en/2026/09/acme-automate-your-ssl-tls-certificate-renewals/;https://id.gandi.net/en/login,https://www.gandi.net/en-US,18,5,15,25,63,None,True,False,verified,198,200,RSA,4096,observed,observed
47,digicert.com,TLS/SSL Certificate Authority | Leader in Digital Trust | DigiCert,0,0,0,0,observed,https://www.digicert.com/,,18,10,5,25,58,None,True,False,verified,46,200,RSA,2048,observed,observed
65,windows.net,.NET - Build modern apps and powerful cloud services,0,0,0,0,observed,https://dotnet.microsoft.com/en-us/;https://dotnet.microsoft.com/en-us/;https://dotnet.microsoft.com/en-us/;https://dotnet.microsoft.com/en-us/;https://dotnet.microsoft.com/en-us/;https://dotnet.microsoft.com/en-us/;https://dotnet.microsoft.com/en-us/;https://dotnet.microsoft.com/en-us/;https://dotnet.microsoft.com/en-us/,,10,10,20,0,40,None,True,True,unverified,0,0,Unknown,0,observed,observed
77,zoom.us,One platform to connect | Zoom,1,1,1,3,observed,https://www.zoom.com;https://www.zoom.com/en/trust/security/;https://www.zoom.com/en/trust/;https://www.zoom.com/en/trust/legal-compliance/,https://www.zoom.com/en/trust/legal-compliance/,20,10,0,25,55,None,True,False,verified,365,398,RSA,2048,observed,observed
92,sentry.io,Application Performance Monitoring & Error Tracking Software | Sentry,1,1,0,2,observed,https://sentry.io/welcome/;https://sentry.io/security/;https://sentry.io/trust/;https://sentry.io/auth/login/compliance/;https://sentry.io/auth/login/compliance/;https://sentry.io/auth/login/trust-center/;https://trust.sentry.io/auth/login/;https://sentry.io/auth/login/compliance/;https://sentry.io/auth/login/,https://sentry.io/welcome/,15,10,10,25,60,None,False,True,verified,198,200,RSA,2048,observed,observed
93,f5.com,Hybrid Multicloud App Security & Delivery for the AI Era | F5,0,1,0,1,observed,https://www.f5.com/;https://www.f5.com/security;https://www.f5.com/company/trust-center/compliance;https://www.f5.com/solutions/ai-security;https://www.f5.com/solutions/zero-trust-architecture;https://www.f5.com/solutions/network-security;https://www.f5.com/products/f5-application-delivery-and-security-platform/digital-sovereignty,https://www.f5.com/company/trust-center/compliance,18,10,10,25,63,None,True,True,verified,396,398,RSA,2048,observed,observed
138,dropbox.com,"Dropbox: Secure cloud storage, file sharing, and more",1,1,1,3,observed,https://www.dropbox.com/;https://www.dropbox.com/features/security;https://www.dropbox.com/features/security;https://trust.dropbox.com/,https://trust.dropbox.com/,20,10,25,25,80,None,True,True,verified,56,200,EC-secp256r1,256,observed,observed
140,kaspersky.com,Kaspersky Cyber Security Solutions for Home and Business | Kaspersky,0,0,0,0,observed,https://www.kaspersky.com/;https://support.kaspersky.com/us;https://www.kaspersky.com/home-security;https://www.kaspersky.com/small-to-medium-business-security/downloads;https://support.kaspersky.com/us;https://lp.kaspersky.com/global/ksb2025/,,20,5,25,25,75,None,True,True,verified,364,398,RSA,2048,observed,observed
175,adobe.io,The most memorable digital experiences are unleashed by developer creativity,0,0,0,0,observed,https://developer.adobe.com/;https://developer.adobe.com/compliance/,,18,5,0,25,48,None,True,False,verified,198,200,RSA,2048,observed,observed
179,shopify.com,Shopify: The All-in-One Commerce Platform for Businesses - Shopify,0,1,0,1,observed,https://www.shopify.com/;https://www.shopify.com/security;https://www.shopify.com/,https://www.shopify.com/security,20,5,5,25,55,None,True,False,verified,90,200,EC-secp256r1,256,observed,observed
