rank,domain,title,has_iso_27001,has_soc_2,has_csa_star,total_claimed_attestations,attestation_audit_status,pages_inspected,attestation_evidence
1032,nextcloud.com,Nextcloud - Open source content collaboration platform,0,0,0,0,observed,https://nextcloud.com/;https://nextcloud.com/security/;https://nextcloud.com/compliance/,
1038,segment.io,Twilio Segment Customer Data Platform | Twilio,1,1,0,2,observed,https://www.twilio.com/en-us/segment;https://www.twilio.com/en-us/security;https://www.twilio.com/en-us/trust-center;https://www.twilio.com/en-us/segment,https://www.twilio.com/en-us/security
1099,supabase.co,Supabase | The Postgres Development Platform,1,1,0,2,observed,https://supabase.com/;https://supabase.com/security;https://supabase.com/database;https://supabase.com/auth,https://supabase.com/
1131,usercentrics.eu,Usercentrics | Leading in Data Privacy & Compliance,0,1,0,1,observed,https://usercentrics.com:443/;https://trust.usercentrics.com/;https://usercentrics.com/knowledge-hub/compliance-audit-software/;https://trust.usercentrics.com/;https://usercentrics.com/wp-content/uploads/2024/12/Compliance.svg;https://usercentrics.com/wp-content/uploads/2024/12/Compliance.svg,https://usercentrics.com:443/
1152,mobolize.com,Data Management Engine for Security & Connectivity on the Endpoint - Mobolize,0,0,0,0,observed,https://www.mobolize.com/;https://www.mobolize.com/security-and-connectivity/;https://www.mobolize.com/security-and-connectivity/;https://www.mobolize.com/solutions/;https://www.mobolize.com/mobolize-app-privacy-policy/,
1237,tradplusad.com,TradPlus - 移动广告变现 - 游戏应用出海 - 最大化广告收益 - 上海世全网络科技有限公司,0,0,0,0,observed,https://tradplusad.com/;https://tradplusad.com/security;https://tradplusad.com/trust;https://tradplusad.com/compliance;https://tradplusad.com/compliance/programs/;https://tradplusad.com/trust-center;https://tradplusad.com/security/compliance;https://tradplusad.com/legal/compliance;https://tradplusad.com/features/security;https://tradplusad.com/en/trust/legal-compliance/,
1288,edna.ru,,0,0,0,0,observed,https://edna.ru/,
1295,rustdesk.com,RustDesk: Open-Source Remote Desktop with Self-Hosted Server Solutions,0,0,0,0,observed,https://rustdesk.com/;https://rustdesk.com/privacy/,
1308,datadome.co,DataDome | Bot Management & Agent Trust Platform,0,1,0,1,observed,https://datadome.co/;https://datadome.co;https://datadome.co/solutions/compliance-data-manager/;https://datadome.co/solutions/compliance-data-manager/;https://datadome.co;https://datadome.co/resources/forrester-wave-bot-and-agent-trust-management-software/;https://datadome.co/products/the-cyberfraud-protection-platform/;https://datadome.co/products/bot-protection/;https://datadome.co/products/account-protect/,https://datadome.co/solutions/compliance-data-manager/
1334,ovhcloud.com,OVHcloud,1,1,1,3,observed,https://us.ovhcloud.com/;https://us.ovhcloud.com/security/;https://us.ovhcloud.com/security/anti-ddos/;https://us.ovhcloud.com/security/game-ddos-protection/;https://us.ovhcloud.com/compliance/,https://us.ovhcloud.com/compliance/
1377,ultradns.com,UltraDNS | Enterprise Authoritative DNS | DigiCert,0,0,0,0,observed,https://www.digicert.com/dns;https://www.digicert.com/why-digicert;https://www.digicert.com/campaigns/thank-you,
1517,twilio.com,"Conversational AI and APIs for SMS, Email, Voice | Twilio",1,1,0,2,observed,https://www.twilio.com/en-us;https://www.twilio.com/en-us/security;https://www.twilio.com/en-us/trust;https://www.twilio.com/en-us/trust-center;https://www.twilio.com/en-us,https://www.twilio.com/en-us/security
1557,therapservices.net,Leading Documentation System for I/DD Providers and States,1,1,0,2,observed,https://www.therapservices.net/;https://www.therapservices.net/products/quality-assurance/,https://www.therapservices.net/
1626,sun.com,Hardware | Oracle,0,0,0,0,observed,https://www.oracle.com/it-infrastructure/;https://www.oracle.com/it-infrastructure/;https://www.oracle.com/it-infrastructure/;https://www.oracle.com/it-infrastructure/;https://www.oracle.com/it-infrastructure/;https://www.oracle.com/it-infrastructure/;https://www.oracle.com/it-infrastructure/;https://www.oracle.com/it-infrastructure/;https://www.oracle.com/it-infrastructure/;https://www.oracle.com/legal/privacy/;https://www.oracle.com/legal/privacy/privacy-choices/;https://www.oracle.com/legal/privacy/privacy-policy/,
1780,tawk.to,tawk.to - Free Live Chat Software for Your Website,0,0,0,0,observed,https://www.tawk.to/;https://tawk.to/security;https://tawk.to/trust;https://tawk.to/compliance,
1786,vmware.com,VMware by Broadcom - Cloud Computing for the Enterprise,0,0,0,0,observed,https://www.vmware.com/;https://www.vmware.com/solutions/security,
1797,mongodb.com,MongoDB: The World’s Leading Modern Data Platform | MongoDB,1,1,1,3,observed,https://www.mongodb.com/;https://www.mongodb.com/company/contact/mongodb-vulnerability-disclosure-policy;https://www.mongodb.com/products/platform/trust;https://www.mongodb.com/products/capabilities/security;https://learn.mongodb.com/;https://trust.mongodb.com/;https://www.mongodb.com/;https://www.mongodb.com/,https://www.mongodb.com/products/platform/trust
1801,medallia.com,Experience Management Software Platform – Medallia – Experience Management Software,1,1,0,2,observed,https://www.medallia.com/;https://www.medallia.com/security/;https://www.medallia.com/security/;https://www.medallia.com/security/;https://www.medallia.com/training-certification/;https://www.medallia.com/products/agent-connect/quality-management/,https://www.medallia.com/security/
1812,rapid7.com,Rapid7 Managed Cybersecurity: Outpace Attackers,1,1,0,2,observed,https://www.rapid7.com/;https://www.rapid7.com/security/;https://www.rapid7.com/trust/;https://www.rapid7.com/products/command/cyber-grc/;https://www.rapid7.com/solutions/ai-powered-security-operations-soc/;https://www.rapid7.com/products/insightappsec/;https://www.rapid7.com/services/managed-application-security/,https://www.rapid7.com/services/managed-application-security/
1833,trustarc.com,Data Privacy Management Software & Solutions | TrustArc,1,1,0,2,observed,https://trustarc.com/;https://trustarc.com/products/consent-consumer-rights/trust-center/;https://trustarc.com/resource/compliance-privacy-assessments/;https://trustarc.com/products/consent-consumer-rights/trust-center/;https://trustarc.com/resource/compliance-privacy-assessments/;https://trustarc.com/resource/compliance-privacy-assessments/;https://trustarc.com/;https://trustarc.com/solutions/privacy-vendor-risk-assessments/;https://trustarc.com/solutions/privacy-program-management/;https://trustarc.com/solutions/privacy-program-consulting/,https://trustarc.com/;https://trustarc.com/products/consent-consumer-rights/trust-center/
1843,pusher.com,Pusher | Leader In Realtime Technologies,1,0,0,1,observed,https://pusher.com/;https://pusher.com/security/,https://pusher.com/security/
1858,livechatinc.com,LiveChat® - The Best AI Live Chat Software for Business | LiveChat.com,0,0,1,1,observed,https://www.livechat.com/;https://www.livechat.com/features/security/;https://www.livechat.com/privacy-policy-generator/,https://www.livechat.com/features/security/
1911,cloud.com,Cloud Software Group home,0,0,0,0,observed,https://www.cloud.com/;https://www.cloud.com/trust-center;https://security.cloud.com/Citrix/StoreWeb/,
1917,mapbox.com,"Mapbox | Maps, Navigation, Search, and Data",0,1,0,1,observed,https://www.mapbox.com/;https://www.mapbox.com/platform/security;https://trust.mapbox.com/,https://www.mapbox.com/platform/security
1951,rackspace.com,Rackspace Technology | Where Enterprise AI runs and outcomes scale,1,1,0,2,observed,https://www.rackspace.com:443/;https://www.rackspace.com:443/security;https://www.rackspace.com:443/compliance;https://www.rackspace.com/security;https://www.rackspace.com:443/security/threat-detection-response;https://www.rackspace.com/lp/ccpa-opt-out;https://www.rackspace.com:443/information/legal/privacycenter,https://www.rackspace.com:443/compliance
1976,romarg.com,Domains .EU - Domain Registration and Web Hosting through ROMARG,0,0,0,0,observed,https://romarg.com/;https://romarg.com/certificate-ssl/validare-domeniu.html;https://romarg.com/certificate-ssl/validare-organizatie.html;https://romarg.com/certificate-ssl/validare-extinsa.html;https://romarg.com/certificate-ssl/wildcard.html,
