rank,domain,title,has_iso_27001,has_soc_2,has_csa_star,total_claimed_attestations,attestation_audit_status,pages_inspected,attestation_evidence,score_tls_transport,score_dns_email,score_http_headers,score_pki_cert,d_vpf_technical_score,dmarc_policy,hsts_present,csp_present,tls_validation_status,cert_lifespan_days,cert_max_allowed_days,key_type,key_bits,http_probe_status,dns_probe_status
1032,nextcloud.com,Nextcloud - Open source content collaboration platform,0,0,0,0,observed,https://nextcloud.com/;https://nextcloud.com/security/;https://nextcloud.com/compliance/,,0,10,0,0,10,None,False,False,failed,0,0,Unknown,0,failed,observed
1038,segment.io,Twilio Segment Customer Data Platform | Twilio,1,1,0,2,observed,https://www.twilio.com/en-us/segment;https://www.twilio.com/en-us/security;https://www.twilio.com/en-us/trust-center;https://www.twilio.com/en-us/segment,https://www.twilio.com/en-us/security,15,5,0,25,45,None,False,False,verified,197,200,RSA,2048,observed,observed
1099,supabase.co,Supabase | The Postgres Development Platform,1,1,0,2,observed,https://supabase.com/;https://supabase.com/security;https://supabase.com/database;https://supabase.com/auth,https://supabase.com/,20,5,0,25,50,None,True,False,verified,89,200,RSA,2048,observed,observed
1131,usercentrics.eu,Usercentrics | Leading in Data Privacy & Compliance,0,1,0,1,observed,https://usercentrics.com:443/;https://trust.usercentrics.com/;https://usercentrics.com/knowledge-hub/compliance-audit-software/;https://trust.usercentrics.com/;https://usercentrics.com/wp-content/uploads/2024/12/Compliance.svg;https://usercentrics.com/wp-content/uploads/2024/12/Compliance.svg,https://usercentrics.com:443/,20,5,23,25,73,None,True,True,verified,90,200,RSA,2048,observed,observed
1152,mobolize.com,Data Management Engine for Security & Connectivity on the Endpoint - Mobolize,0,0,0,0,observed,https://www.mobolize.com/;https://www.mobolize.com/security-and-connectivity/;https://www.mobolize.com/security-and-connectivity/;https://www.mobolize.com/solutions/;https://www.mobolize.com/mobolize-app-privacy-policy/,,15,5,0,25,45,None,False,False,verified,90,200,RSA,2048,observed,observed
1237,tradplusad.com,TradPlus - 移动广告变现 - 游戏应用出海 - 最大化广告收益 - 上海世全网络科技有限公司,1,0,0,1,observed,https://tradplusad.com/;https://tradplusad.com/security;https://tradplusad.com/trust;https://tradplusad.com/compliance;https://tradplusad.com/compliance/programs/;https://tradplusad.com/trust-center;https://tradplusad.com/security/compliance;https://tradplusad.com/legal/compliance;https://tradplusad.com/features/security;https://tradplusad.com/en/trust/legal-compliance/,https://www.tradplusad.com/news/45,15,5,0,25,45,None,False,False,verified,396,398,RSA,2048,observed,observed
1288,edna.ru,,0,0,0,0,observed,https://edna.ru/,,20,5,0,25,50,None,True,False,verified,396,398,RSA,2048,observed,observed
1295,rustdesk.com,RustDesk: Open-Source Remote Desktop with Self-Hosted Server Solutions,0,0,0,0,observed,https://rustdesk.com/;https://rustdesk.com/privacy/,,20,5,18,25,68,None,True,True,verified,90,200,EC-secp256r1,256,observed,observed
1308,datadome.co,DataDome | Bot Management & Agent Trust Platform,0,1,0,1,observed,https://datadome.co/;https://datadome.co;https://datadome.co/solutions/compliance-data-manager/;https://datadome.co/solutions/compliance-data-manager/;https://datadome.co;https://datadome.co/resources/forrester-wave-bot-and-agent-trust-management-software/;https://datadome.co/products/the-cyberfraud-protection-platform/;https://datadome.co/products/bot-protection/;https://datadome.co/products/account-protect/,https://datadome.co/solutions/compliance-data-manager/,20,10,0,25,55,None,True,False,verified,394,398,EC-secp256r1,256,observed,observed
1334,ovhcloud.com,OVHcloud,1,1,1,3,observed,https://us.ovhcloud.com/;https://us.ovhcloud.com/security/;https://us.ovhcloud.com/security/anti-ddos/;https://us.ovhcloud.com/security/game-ddos-protection/;https://us.ovhcloud.com/compliance/,https://us.ovhcloud.com/compliance/,15,5,10,25,55,None,False,False,verified,89,200,RSA,4096,observed,observed
